S.NO.,PROGRAM GROUP,TRANSFORMATION,ACTIVITY ID,ACTIVITY DESCRIPTION,START DATE,END DATE,UNIT,PLANNED QTY,YEAR,MONTH
1,BLD-2248-D-PW|A|1|A,PILING WORK,1583,P&C bored cast in-situ pile-600mm /97 T,14-12-2019,25-06-2020,M,1987.5,2020,8
2,BLD-2248-D-PW|A|1|B,PILING WORK,1584,P&C bored cast in-situ pile-750mm /158 T,14-12-2019,25-06-2020,M,24963,2020,8
3,BLD-2248-D-PW|A|2,PILING WORK,1585,P&F reinf steel incl tran/strght/cut/Bnd,14-12-2019,25-06-2020,MT,1525,2020,8
4,BLD-2248-D-PW|A|3|A|I,PILING WORK,1586,Vertical load test/ 600 mm/ 97 T,20-02-2020,30-05-2020,EA,1,2020,8
5,BLD-2248-D-PW|A|3|A|II,PILING WORK,1587,Vertical load test/ 600 mm/ 158 T,20-02-2020,30-05-2020,EA,2,2020,8
6,BLD-2248-D-PW|A|3|B|I,PILING WORK,1588,Dynamic load test/ 600 mm/ 97 T,20-02-2020,30-05-2020,EA,1,2020,8
7,BLD-2248-D-PW|A|3|B|II,PILING WORK,1589,Dynamic load test/ 750 mm/ 158 T,20-02-2020,30-05-2020,EA,7,2020,8
8,BLD-2248-D-PW|A|4|I,PILING WORK,1590,Pile Integrity test/ 600 mm/ 97 T,20-02-2020,30-05-2020,EA,5,2020,8
9,BLD-2248-D-PW|A|4|II,PILING WORK,1591,Pile Integrity test/ 750 mm/ 158 T,20-02-2020,30-05-2020,EA,50,2020,8
10,BLD-2248-D-PW|A|5,PILING WORK,1592,Break pile head manually incl remv debrs,30-01-2020,09-07-2020,M3,437,2020,8
11,BLD-2248-D-EW|B|1|I,EARTH WORK,1593,Mech Excavation upto 1.5M,30-01-2020,09-07-2020,M3,8431,2020,8
12,BLD-2248-D-EW|B|1|II,EARTH WORK,1594,Mech Excavation upto 1.5M-3.0M,30-01-2020,09-07-2020,M3,8341,2020,8
13,BLD-2248-D-EW|B|1|III,EARTH WORK,1595,Mech Excavation upto 3.0M-4.5M,30-01-2020,09-07-2020,M3,6517,2020,8
14,BLD-2248-D-EW|B|1|IV,EARTH WORK,1596,Mech Excavation upto 4.5M & above,30-01-2020,09-07-2020,M3,2080,2020,8
